rating,review_title,review_text,reviewer_name,verified_purchase,review_date,helpful_upvotes,helpful_total,review_date_raw,product,sentiment,clean_text,word_count
5.0,Super!,Very nice product it's better than iphone 15 or 16,Rushikesh  Bhoj,True,2024-11-01,7.0,1.0,2 months ago,Samsung S24,positive,nice product better iphone,4
4.0,Value-for-money,"Premium, unexpected delightful smartphoneCamera and performance is good Battery is slightly not up to the mark.It lasts hardly for a day with moderate use￼",Flipkart Customer,True,2024-11-01,11.0,3.0,10 months ago,Samsung S24,positive,premium unexpected delightful smartphonecamera performance good battery slightly mark last hardly day moderate use,14
4.0,Worth the money,Product is good but i see it is getting heated a bit while using it for minimum time.,Arun Kumar,True,2024-11-01,9.0,2.0,2 months ago,Samsung S24,positive,product good see getting heated bit using minimum time,9
5.0,Awesome,Greet camera very smooth  display 👌 😎 👏,Birendar Thakur,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,greet camera smooth display,4
5.0,Simply awesome,Oval all good 👍,JAHANGIR ALOM KHAN,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,oval good,2
5.0,Must buy!,Good phone but  heating issue,Sudip Nath,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,good phone heating issue,4
5.0,Simply awesome,Overall Good,AJAY METKAR,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,overall good,2
5.0,Perfect product!,Love it,Rahul Gupta,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,love,1
5.0,Just wow!,The phone offers exceptional performance.The camera's capabilities are impressive.The user interface is highly intuitive.It is exceptionally user-friendly.,Shivakumar D,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,phone offer exceptional performance camera capability impressive user interface highly intuitive exceptionally user friendly,14
5.0,Excellent,All is best if u get it i should  cary the power bank also charge twice in day,Prajwal Choudhary,True,2024-11-01,4.0,0.0,1 month ago,Samsung S24,positive,best get cary power bank also charge twice day,9
5.0,Brilliant,"Since thousands of reviews have been written on this phone, it seems unnecessary for me to delve deeper into the details. It's a wonderful compact phone with great design, wonderful display and unmatched UI. Only area it is lacking in is battery and camera hardware. Samsung has to work seriously on these two aspects. Primary camera and selfie camera are excellent but the ultra wide and especially the ten MP telephoto lenses fall short of delivering the expected results more so in low light. R...",Prashantha S,True,2024-11-01,10.0,3.0,1 month ago,Samsung S24,positive,since thousand review written phone seems unnecessary delve deeper detail wonderful compact phone great design wonderful display unmatched area lacking battery camera hardware samsung work seriously two aspect primary camera selfie camera excellent ultra wide especially ten telephoto lens fall short delivering expected result low light,46
5.0,Terrific purchase,Look wise best. Battery wise average. It discharges faster.  Storage and technologies are best. Overall lovely phone.,Kapil Mewada,True,2024-11-01,8.0,2.0,2 months ago,Samsung S24,positive,look wise best battery wise average discharge faster storage technology best overall lovely phone,14
4.0,Pretty good,Verry good phone at this price ..value for money..if the screen size little bit bigger then it will more effective 😄. Other wize smooth well degin camery quality and camera both are awesome..happy to byu,Rishab Chowdhury,True,2024-11-01,10.0,3.0,1 month ago,Samsung S24,positive,verry good phone price value money screen size little bit bigger effective wize smooth well degin camery quality camera awesome happy byu,22
5.0,Great product,"The form factor, the size, the weight, its awsome. It always feels like a precious piece of jewelry ✨️. Especially in this particular color the bezels feels lot thinner.The software is extremely optimized. One UI is a bliss. The hardware with Snapdragon 8 Gen 3 literally delivers lightning fast performance. The battery performs all day and ends up with around 20%. The camera is good, but not the best. And the price i bought the 256 variant was a steal deal.",Krishnajith P S,True,2024-11-01,11.0,4.0,1 month ago,Samsung S24,positive,form factor size weight awsome always feel like precious piece jewelry especially particular color bezel feel lot thinner software extremely optimized one bliss hardware snapdragon gen literally delivers lightning fast performance battery performs day end around camera good best price bought variant steal deal,44
5.0,Awesome,Camera amazing good looking,Santanu Kumar,True,2024-11-01,7.0,2.0,1 month ago,Samsung S24,positive,camera amazing good looking,4
5.0,Great product,Osm Camera and Performance good So Nice S24 Snapdragon 8 Gen 3..,Rahul Chaudhary,True,2024-11-01,2.0,0.0,16 days ago,Samsung S24,positive,osm camera performance good nice snapdragon gen,7
5.0,Terrific purchase,Best phone go for it.,Vivek Jain,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,best phone,2
5.0,Highly recommended,Overall phone justify it's price very wellBest camera. Best design.. best design.. best processor..  I mean everything a super android smartphone..Bt if we talk about battery then it's little disappointing... U can't use whole day a battery life,Ashish Pandey,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,overall phone justify price wellbest camera best design best design best processor mean everything super android smartphone talk battery little disappointing use whole day battery life,26
5.0,Highly recommended,Very n,Ravi  Kumar,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,,0
5.0,Mind-blowing purchase,"Overall good performance,  look , display!/// just they need to think about battery give upto 5 to 6 hr screen on time but if you use normly without gamming it can support a Day!",Rushi  Tiwari,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,overall good performance look display need think battery give upto screen time use normly without gamming support day,18
5.0,Must buy!,Excellent phone but battery life could have been better,Ramkanna Raja,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,excellent phone battery life could better,6
5.0,Best in the market!,Excellent product battery upto 8hrs without gaming,saranraj rajamoorthy,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,excellent product battery upto hr without gaming,7
5.0,Highly recommended,"Camera quality is really good, and this quality you won't be able to find in any other smartphone which is upto 30k smartphones. Performance is also very good. Display quality is awesome. Battery and charging capacity is slightly less and if you are ok with it you can definitely go fir it blindly.",Kishlay Raj,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,camera quality really good quality able find smartphone upto smartphones performance also good display quality awesome battery charging capacity slightly less definitely fir blindly,24
5.0,Simply awesome,Nice product with best build up. Camera and all features are awsome except battery.,Amitkumar  Pandey,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,nice product best build camera feature awsome except battery,9
5.0,Highly recommended,LIGHT WEIGHT...SMOOTH DISPLAY...GOOD CAMERA,Hari karan,True,2024-11-01,3.0,0.0,9 months ago,Samsung S24,positive,light weight smooth display good camera,6
5.0,Perfect product!,Overall very Good but battery not enough 2 time charging require in a day,Flipkart Customer,True,2024-11-01,8.0,3.0,1 month ago,Samsung S24,positive,overall good battery enough time charging require day,8
4.0,Worth the money,Phone is Good. Battery is the minus point.,Gopal Customer,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,phone good battery minus point,5
4.0,Value-for-money,Everything is top notch except battery,Rokom Mibang,True,2024-11-01,3.0,0.0,1 month ago,Samsung S24,positive,everything top notch except battery,5
4.0,Very Good,"Good camera, decent battery life. Good Performance.Overall, a decent phone if you get it at around 40k",ANDUKURI SARATH CHANDRASEKHAR,True,2024-11-01,5.0,1.0,2 months ago,Samsung S24,positive,good camera decent battery life good performance overall decent phone get around,12
5.0,Terrific,Good compact phone and surprisingly good battery backup too.Nice camera set,raghavendra balemane,True,2024-11-01,9.0,4.0,2 months ago,Samsung S24,positive,good compact phone surprisingly good battery backup nice camera set,10
5.0,Excellent,Better than iphone.,Anand Kumar  Pandey,True,2024-11-01,6.0,2.0,1 month ago,Samsung S24,positive,better iphone,2
5.0,Just wow!,"I held this phone for the first time, and I was really appreciative of this product because it's an amazing phone in this segment.Camera: 5/5Display: 5/5Performance: 5/5Design: 5/5Value for money: 5/5",Dhrumin  Nizama,True,2024-11-01,6.0,2.0,1 month ago,Samsung S24,positive,held phone first time really appreciative product amazing phone segment camera display performance design value money,16
3.0,Decent product,Phone form factor and camera are excellent. Major drawbacks are the heating issue when using camera and the faster battery drain. These may be attributed to the Samsung's Exynos processor's inferior performance. Potential buyers of this phone can buy the S23 instead or wait for the Galaxy S25 which will sport the latest Snapdragon processor which will solve both the drawbacks. S25 is rumoured to be launched in Jan 2025.,Raju VENKATA KRISHNAM,True,2024-11-01,10.0,2.0,"Nov, 2024",Samsung S24,neutral,phone form factor camera excellent major drawback heating issue using camera faster battery drain may attributed samsung exynos processor inferior performance potential buyer phone buy instead wait galaxy sport latest snapdragon processor solve drawback rumoured launched jan,37
5.0,Awesome,"If you bought this phone, this BBD sale.. its a great buy,  with a price point of 37k. UI is super smooth and you get Android 15 and oneUI 8 in a day or two post purchase along with security updates.1. The phone does heat up, if you use it for extended period of time, sometimes when you charge.2. The battery is 3840 mah, not 4k like advertised and if you are a heavy user, charging twice a day may be needed or a extra powerback needs to be carried.3. Camera is outstanding 4. Speakers are ...",Ankan Debgupta,True,2024-11-01,4.0,1.0,1 month ago,Samsung S24,positive,bought phone bbd sale great buy price point super smooth get android oneui day two post purchase along security update phone heat use extended period time sometimes charge battery mah like advertised heavy user charging twice day may needed extra powerback need carried camera outstanding speaker,46
5.0,Just wow!,Awesome,MANIDIPA DAS,True,2024-11-01,4.0,1.0,2 months ago,Samsung S24,positive,awesome,1
5.0,Just wow!,much better than iphone15/16,Shantanu Lahoti,True,2024-11-01,4.0,1.0,2 months ago,Samsung S24,positive,much better iphone,3
5.0,Excellent,"Overall very good smartphone. Not for heavy users or professional photographers. Very crisp display. Very fast. Battery drains fast, light to medium users can use it full day with 1 time charge.",Deepak Bhushan,True,2024-11-01,2.0,0.0,4 days ago,Samsung S24,positive,overall good smartphone heavy user professional photographer crisp display fast battery drain fast light medium user use full day time charge,21
5.0,Worth every penny,Everything is good but the battery backup is so poor,Sanju Surendran,True,2024-11-01,2.0,0.0,11 days ago,Samsung S24,positive,everything good battery backup poor,5
5.0,Brilliant,"Writing a review after 1 month of usage.This phone has made me write it otherwise I don't usually do it.One word for this phone - 'Amazing'.Everything is 5/5 I saw too many comments about battery it lasts me for a day with 6 hr of SOT and this has not changed.  And if you put this on other performance mode profile it will last for 7.5hr SOT. Taking about camera its just amazing, clearly my friends using iPhones was suddenly using this phone to take pictures the 3x is the most loved th...",Amit  Admame,True,2024-11-01,2.0,0.0,24 days ago,Samsung S24,positive,writing review month usage phone made write otherwise usually one word phone amazing everything saw many comment battery last day sot changed put performance mode profile last sot taking camera amazing clearly friend using iphones suddenly using phone take picture loved,41
5.0,Excellent,Good Purchase 1. Nice Camera Quality 2. Due to compact Design its comfortable in hand3. Premium Feel in Hand alomg with Premium minimalistic Design4. Voice Quality Nice,Rasesh Daru,True,2024-11-01,2.0,0.0,30 days ago,Samsung S24,positive,good purchase nice camera quality due compact design comfortable hand premium feel hand alomg premium minimalistic design voice quality nice,20
5.0,Just wow!,Top class flagship mobile display camera parformance,shankar Daddimani,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,top class flagship mobile display camera parformance,7
5.0,Wonderful,This good phone for camera  and all  of. I listened  somewhere  on social  media  that  battery  is not good perform  but  i  charged  full  battery  i used  full  day  with  any  complaint  so  you can buy this  phone,Stranger For u,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,good phone camera listened somewhere social medium battery good perform charged full battery used full day complaint buy phone,19
5.0,Excellent,S24  is amazing phone at just 40K. Surprisingly battery life is also very good with SD 8Gen3.,ONGC A/C S G AWAR CPF 127937 CPF 127937,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,amazing phone surprisingly battery life also good gen,8
5.0,Just wow!,"Samsung s series mobiles lot of improvements in recent years, good compact mobile but flipkart delivery system in Nellore was pathetic",Mahammad Abdul  Zaleel SK,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,samsung series mobile lot improvement recent year good compact mobile flipkart delivery system nellore pathetic,15
5.0,Terrific,Look like a premium device,Deva raj,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,look like premium device,4
5.0,Brilliant,"Amazing smartphone, awesome camera",Subhanjan,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,amazing smartphone awesome camera,4
5.0,Wonderful,"Battery performance could have been better. For heavy users, an evening top-up is required. For normal usage, it lasts the whole day.",Amit kumar singh,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,battery performance could better heavy user evening top required normal usage last whole day,14
5.0,Wonderful,"I have been using the Galaxy S24 for some time now and I am really happy with it. The phone feels very premium in hand and the display is bright, smooth and perfect for watching videos. Performance is super fast, apps open instantly and everything runs buttery smooth.Battery life is solid too. I am a light user with no gaming and I usually get around 7 hours of screen on time, which easily lasts me the whole day. The cameras are excellent, sharp photos and natural colors even in low light....",junayed  Alam,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,using galaxy time really happy phone feel premium hand display bright smooth perfect watching video performance super fast apps open instantly everything run buttery smooth battery life solid light user gaming usually get around hour screen time easily last whole day camera excellent sharp photo natural color even low light,50
5.0,Mind-blowing purchase,"I am writing this review after 10-15 days of usage. This phone is really a beast. I was using iphones before as they feel handy. I always had a second thought if this really meet my expectation comparing iphones. I must say it was beyond my expectation. Thanks flipkart. Pros : Display, Device performance and premium feelCons : Battery gets drains easily when you use frequent camera and slight heat up the device lStill for the price and features this phone offers its a damm crazy device....",Zia ur Rehman,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,writing review day usage phone really beast using iphones feel handy always second thought really meet expectation comparing iphones must say beyond expectation thanks flipkart pro display device performance premium feelcons battery get drain easily use frequent camera slight heat device lstill price feature phone offer damm crazy device,49
5.0,Fabulous!,Just osm,shilpa Bairagi,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,osm,1
5.0,Awesome,Its a good phone with amazing features but if you want to have great battery performance than think twice cause its battery performance is bit low. Simply it touch and feel like iphone 14 and battery perform like that only. But in features its ahead of its time. Camera quality is also good can be better.,Pravin Sharma,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,good phone amazing feature want great battery performance think twice cause battery performance bit low simply touch feel like iphone battery perform like feature ahead time camera quality also good better,31
5.0,Worth every penny,Apart from Battery life everything is good.,MANAS MUKHERJEE,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,apart battery life everything good,5
5.0,Classy product,Impressive,Deepanshu Raj,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,impressive,1
5.0,Classy product,amazing galaxy 💜 😍,Himanshu,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,amazing galaxy,2
5.0,Fabulous!,"The performance is very good, and the product was delivered in good condition.",Navin,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,performance good product delivered good condition,6
5.0,Excellent,Camera is the main reason for my buying.There is a heating issue.,BIKASH  CHETIA,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,camera main reason buying heating issue,6
5.0,Pretty good,"Absolutely stunning phone. Amazing camera, surprising battery life, stunning screen, sound and aesthetics. Easy to capture stunning, praiseworthy images of everything and everyone around.the best compact flagship under 40000, without any doubt.",Nikhil  V.A,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,absolutely stunning phone amazing camera surprising battery life stunning screen sound aesthetic easy capture stunning praiseworthy image everything everyone around best compact flagship without doubt,25
5.0,Must buy!,"Initially I heard very bad reviews againt mobile battery life but if you are normal user its more than expected and finally i can say just go for it if you really want a flagship level mobile, its really good more than you see",Nikhil Kumbhar,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,initially heard bad review againt mobile battery life normal user expected finally say really want flagship level mobile really good see,21
5.0,Simply awesome,"The best product i have bought from Flipkart and the quality of the phone is just top notch it gives a premium feeling when you use it and the size is also small like an iphone , worth buying.",Mukul Bhoj,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,best product bought flipkart quality phone top notch give premium feeling use size also small like iphone worth buying,19
5.0,Classy product,Best Compact Phone at this price❤️,Rajat Roy,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,best compact phone price,4
5.0,Classy product,Very good fon,AMRIT KUMAR,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,good fon,2
5.0,Super!,Superb Design and display alsoCamera quality is superb ..Love to use . It's feel premium because it's compact Only one cause is battery drain You have suffer from battery backup because S24 has only 4000mah battery you have to charge atleast 2 time In a dayBut the only problem is,Yadu Deshmukh,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,superb design display alsocamera quality superb love use feel premium compact one cause battery drain suffer battery backup mah battery charge atleast time daybut problem,25
5.0,Highly recommended,Good Product,Ansar Customer,True,2024-11-01,2.0,0.0,2 months ago,Samsung S24,positive,good product,2
5.0,Awesome,Very Good,DARSHAN PORIYA,True,2024-11-01,2.0,0.0,2 months ago,Samsung S24,positive,good,1
5.0,Perfect product!,Awesome look and camera,Shivendra Rawat,True,2024-11-01,2.0,0.0,2 months ago,Samsung S24,positive,awesome look camera,3
5.0,Awesome,Compact phone very easy to carry.Features are good as per the price.,Karti Suku,True,2024-11-01,2.0,0.0,10 months ago,Samsung S24,positive,compact phone easy carry feature good per price,8
4.0,Nice product,Value for money,Flipkart Customer,True,2024-11-01,2.0,0.0,25 days ago,Samsung S24,positive,value money,2
4.0,Good choice,Android version of iphone. New UI is cool. Smooth as fk.,Dipraj Saha,True,2024-11-01,2.0,0.0,27 days ago,Samsung S24,positive,android version iphone new cool smooth,6
4.0,Good quality product,"Ai features excellent,sound quality owsome like iphone..built quality look very nice..mini size comfort handle this mobile..",arjunarao pithani,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,feature excellent sound quality owsome like iphone built quality look nice mini size comfort handle mobile,16
4.0,Really Nice,Best flagship smartphone under this price 👌 Nice camera 📷 Good performance Best display 👌 Battery- it lasts almost full day for normal user.,Rohit Kumar,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,best flagship smartphone price nice camera good performance best display battery last almost full day normal user,17
4.0,Delightful,Got the Original/Genuine Product.,Ayush Pawara,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,got original genuine product,4
4.0,Wonderful,Camera : pro Battery : badOther performance : Nice,Mahesh Gharat,True,2024-11-01,2.0,0.0,1 month ago,Samsung S24,positive,camera pro battery badother performance nice,6
5.0,Super!,I love this phone,Sekhar Behera,True,2024-08-01,20.0,23.0,"Aug, 2024",Samsung S24,positive,love phone,2
5.0,Classy product,"Bought it for 42k in BBS with 2k cashback, if you're getting it for 44k with 2k cashback then go for it if your budget is upto 50k. This is the best deal. Camera is amazing, AI integration is pretty impressive, performance is smooth as butter, though i changed the performance to 60Ghz to save battery which is a minor issue. You can charge it in 35-40 minutes with a 45 watt samsung charger, plus it has wireless charge feature and you can share battery from others who have this feature or you c...",Mohd Sameer,True,2024-11-01,3.0,1.0,1 month ago,Samsung S24,positive,bought bb cashback getting cashback budget upto best deal camera amazing integration pretty impressive performance smooth butter though changed performance ghz save battery minor issue charge minute watt samsung charger plus wireless charge feature share battery others feature,38
5.0,Perfect product!,"Best phone under 40k. Superb camera, display, processor. Compact and handy. Battery should be better. Other than this, all the features are awesome.",Suprio Samanta,True,2024-11-01,3.0,1.0,1 month ago,Samsung S24,positive,best phone superb camera display processor compact handy battery better feature awesome,12
4.0,Good quality product,Almost perfect.. small compact size..But low light photography slightly disappointed.,Vasu  K S,True,2024-11-01,3.0,1.0,2 months ago,Samsung S24,positive,almost perfect small compact size low light photography slightly disappointed,10
5.0,Excellent,Super,MAHENDRA KEELKA,True,2024-11-01,3.0,1.0,2 months ago,Samsung S24,positive,super,1
5.0,Awesome,"This phone is an absolute unit, far better than other smartphones in this price range (even a better camera than the iPhone 16), worth every penny. Go for it.",Himanshu Thakur,True,2024-11-01,2.0,1.0,1 month ago,Samsung S24,positive,phone absolute unit far better smartphones price range even better camera iphone worth every penny,15
5.0,Must buy!,Camera design display performance are so great...just like amul butter😘😘But battery performens little bad🥲Improve battery performenceOver all ok,Subhasis Ghosh,True,2024-11-01,2.0,1.0,1 month ago,Samsung S24,positive,camera design display performance great like amul butter battery performens little bad improve battery performenceover,15
