"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"5","Awesome","The interface is clean and fast. The Android 16 update is really snappy. The cameras are good, the telephoto camera could have been better, the quality feels like crop of the main camera. The battery life is surprisingly good, I had Xiaomi 11T pro with 5000mAh / 120W charging, I thought I'm downgrading with my choice, but it turns out to be other way around. With my moderate use I clock 2 days easily with this phone, the discharge rate is predictable unlike my previous phone. And, yes, t...","Srikant Patnaik","Certified Buyer","1 month ago","5","0"
"5","Awesome","Perfect 👌","Flipkart Customer","Certified Buyer","1 month ago","6","0"
"","","","","","","",""
"5","Terrific","Many videos i have seen battery problem. Iam not a heavy user or gamer .from 4 days i didnt feel any heavy battery draining issue.I was using old mobile before so i am having habit of using power saving mode , which i continued here worked very amazing . No doubt best buy... camera amazing but low light little noise still best . And coming to ai features it's a beast . Mobile is very smaller than i expected which is very cute and good look. I didnt feel any heating issues and i kept my phone ...","Flipkart Customer","Certified Buyer","1 month ago","15","3"
"5","Classy product","This phone is very awesome all over performance, camera, look, build quality is very good, only samsung should provide more battery capacity with this phone...Overall all is great !","Flipkart Customer","Certified Buyer","2 months ago","17","4"
"4","Delightful","One of the Best camera phone .","Gaurav Vyas","Certified Buyer","1 month ago","6","0"
"5","Highly recommended","Very nice phone","Ashish Mahto","Certified Buyer","1 month ago","9","1"
"5","Simply awesome","Here is the quick review of s24.Camera excellent. Battery backup not good. Display excellent Design excellent. Performance not good because of heating issue","Avirat  Zain","Certified Buyer","1 month ago","10","2"
"5","Terrific purchase","i am upgrading after 7 years, and I liked it very much for its compact factor, colour, and design, easy to transfer data via smart switch","Rithik mohanta","Certified Buyer","2 months ago","14","4"
"5","Super!","Very nice product it's better than iphone 15 or 16","Rushikesh  Bhoj","Certified Buyer","2 months ago","7","1"
"4","Value-for-money","Premium, unexpected delightful smartphoneCamera and performance is good Battery is slightly not up to the mark.It lasts hardly for a day with moderate use￼","Flipkart Customer","Certified Buyer","10 months ago","11","3"
"4","Worth the money","Product is good but i see it is getting heated a bit while using it for minimum time.","Arun Kumar","Certified Buyer","2 months ago","9","2"
"5","Awesome","Greet camera very smooth  display 👌 😎 👏","Birendar Thakur","Certified Buyer","1 month ago","4","0"
"","","","","","","",""
"5","Simply awesome","Oval all good 👍","JAHANGIR ALOM KHAN","Certified Buyer","1 month ago","4","0"
"5","Must buy!","Good phone but  heating issue","Sudip Nath","Certified Buyer","1 month ago","4","0"
"5","Simply awesome","Overall Good","AJAY METKAR","Certified Buyer","1 month ago","4","0"
"5","Perfect product!","Love it","Rahul Gupta","Certified Buyer","1 month ago","4","0"
"5","Just wow!","The phone offers exceptional performance.The camera's capabilities are impressive.The user interface is highly intuitive.It is exceptionally user-friendly.","Shivakumar D","Certified Buyer","1 month ago","3","0"
"5","Excellent","All is best if u get it i should  cary the power bank also charge twice in day","Prajwal Choudhary","Certified Buyer","1 month ago","4","0"
"5","Brilliant","Since thousands of reviews have been written on this phone, it seems unnecessary for me to delve deeper into the details. It's a wonderful compact phone with great design, wonderful display and unmatched UI. Only area it is lacking in is battery and camera hardware. Samsung has to work seriously on these two aspects. Primary camera and selfie camera are excellent but the ultra wide and especially the ten MP telephoto lenses fall short of delivering the expected results more so in low light. R...","Prashantha S","Certified Buyer","1 month ago","10","3"
"5","Terrific purchase","Look wise best. Battery wise average. It discharges faster.  Storage and technologies are best. Overall lovely phone.","Kapil Mewada","Certified Buyer","2 months ago","8","2"
"4","Pretty good","Verry good phone at this price ..value for money..if the screen size little bit bigger then it will more effective 😄. Other wize smooth well degin camery quality and camera both are awesome..happy to byu","Rishab Chowdhury","Certified Buyer","1 month ago","10","3"
"5","Great product","The form factor, the size, the weight, its awsome. It always feels like a precious piece of jewelry ✨️. Especially in this particular color the bezels feels lot thinner.The software is extremely optimized. One UI is a bliss. The hardware with Snapdragon 8 Gen 3 literally delivers lightning fast performance. The battery performs all day and ends up with around 20%. The camera is good, but not the best. And the price i bought the 256 variant was a steal deal.","Krishnajith P S","Certified Buyer","1 month ago","11","4"
"","","","","","","",""
"5","Awesome","Camera amazing good looking","Santanu Kumar","Certified Buyer","1 month ago","7","2"
"5","Great product","Osm Camera and Performance good So Nice S24 Snapdragon 8 Gen 3..","Rahul Chaudhary","Certified Buyer","16 days ago","2","0"
"5","Terrific purchase","Best phone go for it.","Vivek Jain","Certified Buyer","1 month ago","3","0"
"5","Highly recommended","Overall phone justify it's price very wellBest camera. Best design.. best design.. best processor..  I mean everything a super android smartphone..Bt if we talk about battery then it's little disappointing... U can't use whole day a battery life","Ashish Pandey","Certified Buyer","1 month ago","2","0"
"5","Highly recommended","Very n","Ravi  Kumar","Certified Buyer","1 month ago","3","0"
"5","Mind-blowing purchase","Overall good performance,  look , display!/// just they need to think about battery give upto 5 to 6 hr screen on time but if you use normly without gamming it can support a Day!","Rushi  Tiwari","Certified Buyer","1 month ago","3","0"
"5","Must buy!","Excellent phone but battery life could have been better","Ramkanna Raja","Certified Buyer","1 month ago","3","0"
"5","Best in the market!","Excellent product battery upto 8hrs without gaming","saranraj rajamoorthy","Certified Buyer","1 month ago","3","0"
"5","Highly recommended","Camera quality is really good, and this quality you won't be able to find in any other smartphone which is upto 30k smartphones. Performance is also very good. Display quality is awesome. Battery and charging capacity is slightly less and if you are ok with it you can definitely go fir it blindly.","Kishlay Raj","Certified Buyer","1 month ago","3","0"
"5","Simply awesome","Nice product with best build up. Camera and all features are awsome except battery.","Amitkumar  Pandey","Certified Buyer","1 month ago","3","0"
"","","","","","","",""
"5","Highly recommended","LIGHT WEIGHT...SMOOTH DISPLAY...GOOD CAMERA","Hari karan","Certified Buyer","9 months ago","3","0"
"5","Perfect product!","Overall very Good but battery not enough 2 time charging require in a day","Flipkart Customer","Certified Buyer","1 month ago","8","3"
"4","Worth the money","Phone is Good. Battery is the minus point.","Gopal Customer","Certified Buyer","1 month ago","3","0"
"4","Value-for-money","Everything is top notch except battery","Rokom Mibang","Certified Buyer","1 month ago","3","0"
"4","Very Good","Good camera, decent battery life. Good Performance.Overall, a decent phone if you get it at around 40k","ANDUKURI SARATH CHANDRASEKHAR","Certified Buyer","2 months ago","5","1"
"5","Terrific","Good compact phone and surprisingly good battery backup too.Nice camera set","raghavendra balemane","Certified Buyer","2 months ago","9","4"
"5","Excellent","Better than iphone.","Anand Kumar  Pandey","Certified Buyer","1 month ago","6","2"
"5","Just wow!","I held this phone for the first time, and I was really appreciative of this product because it's an amazing phone in this segment.Camera: 5/5Display: 5/5Performance: 5/5Design: 5/5Value for money: 5/5","Dhrumin  Nizama","Certified Buyer","1 month ago","6","2"
"3","Decent product","Phone form factor and camera are excellent. Major drawbacks are the heating issue when using camera and the faster battery drain. These may be attributed to the Samsung's Exynos processor's inferior performance. Potential buyers of this phone can buy the S23 instead or wait for the Galaxy S25 which will sport the latest Snapdragon processor which will solve both the drawbacks. S25 is rumoured to be launched in Jan 2025.","Raju VENKATA KRISHNAM","Certified Buyer","Nov, 2024","10","2"
"5","Awesome","If you bought this phone, this BBD sale.. its a great buy,  with a price point of 37k. UI is super smooth and you get Android 15 and oneUI 8 in a day or two post purchase along with security updates.1. The phone does heat up, if you use it for extended period of time, sometimes when you charge.2. The battery is 3840 mah, not 4k like advertised and if you are a heavy user, charging twice a day may be needed or a extra powerback needs to be carried.3. Camera is outstanding 4. Speakers are ...","Ankan Debgupta","Certified Buyer","1 month ago","4","1"
"","","","","","","",""
"5","Just wow!","Awesome","MANIDIPA DAS","Certified Buyer","2 months ago","4","1"
"5","Just wow!","much better than iphone15/16","Shantanu Lahoti","Certified Buyer","2 months ago","4","1"
"5","Excellent","Overall very good smartphone. Not for heavy users or professional photographers. Very crisp display. Very fast. Battery drains fast, light to medium users can use it full day with 1 time charge.","Deepak Bhushan","Certified Buyer","4 days ago","2","0"
"5","Worth every penny","Everything is good but the battery backup is so poor","Sanju Surendran","Certified Buyer","11 days ago","2","0"
"5","Brilliant","Writing a review after 1 month of usage.This phone has made me write it otherwise I don't usually do it.One word for this phone - 'Amazing'.Everything is 5/5 I saw too many comments about battery it lasts me for a day with 6 hr of SOT and this has not changed.  And if you put this on other performance mode profile it will last for 7.5hr SOT. Taking about camera its just amazing, clearly my friends using iPhones was suddenly using this phone to take pictures the 3x is the most loved th...","Amit  Admame","Certified Buyer","24 days ago","2","0"
"5","Excellent","Good Purchase 1. Nice Camera Quality 2. Due to compact Design its comfortable in hand3. Premium Feel in Hand alomg with Premium minimalistic Design4. Voice Quality Nice","Rasesh Daru","Certified Buyer","30 days ago","2","0"
"5","Just wow!","Top class flagship mobile display camera parformance","shankar Daddimani","Certified Buyer","1 month ago","2","0"
"5","Wonderful","This good phone for camera  and all  of. I listened  somewhere  on social  media  that  battery  is not good perform  but  i  charged  full  battery  i used  full  day  with  any  complaint  so  you can buy this  phone","Stranger For u","Certified Buyer","1 month ago","2","0"
"5","Excellent","S24  is amazing phone at just 40K. Surprisingly battery life is also very good with SD 8Gen3.","ONGC A/C S G AWAR CPF 127937 CPF 127937","Certified Buyer","1 month ago","2","0"
"5","Just wow!","Samsung s series mobiles lot of improvements in recent years, good compact mobile but flipkart delivery system in Nellore was pathetic","Mahammad Abdul  Zaleel SK","Certified Buyer","1 month ago","2","0"
"","","","","","","",""
"5","Terrific","Look like a premium device","Deva raj","Certified Buyer","1 month ago","2","0"
"5","Brilliant","Amazing smartphone, awesome camera","Subhanjan","Certified Buyer","1 month ago","2","0"
"5","Wonderful","Battery performance could have been better. For heavy users, an evening top-up is required. For normal usage, it lasts the whole day.","Amit kumar singh","Certified Buyer","1 month ago","2","0"
"5","Wonderful","I have been using the Galaxy S24 for some time now and I am really happy with it. The phone feels very premium in hand and the display is bright, smooth and perfect for watching videos. Performance is super fast, apps open instantly and everything runs buttery smooth.Battery life is solid too. I am a light user with no gaming and I usually get around 7 hours of screen on time, which easily lasts me the whole day. The cameras are excellent, sharp photos and natural colors even in low light....","junayed  Alam","Certified Buyer","1 month ago","2","0"
"5","Mind-blowing purchase","I am writing this review after 10-15 days of usage. This phone is really a beast. I was using iphones before as they feel handy. I always had a second thought if this really meet my expectation comparing iphones. I must say it was beyond my expectation. Thanks flipkart. Pros : Display, Device performance and premium feelCons : Battery gets drains easily when you use frequent camera and slight heat up the device lStill for the price and features this phone offers its a damm crazy device....","Zia ur Rehman","Certified Buyer","1 month ago","2","0"
"5","Fabulous!","Just osm","shilpa Bairagi","Certified Buyer","1 month ago","2","0"
"5","Awesome","Its a good phone with amazing features but if you want to have great battery performance than think twice cause its battery performance is bit low. Simply it touch and feel like iphone 14 and battery perform like that only. But in features its ahead of its time. Camera quality is also good can be better.","Pravin Sharma","Certified Buyer","1 month ago","2","0"
"5","Worth every penny","Apart from Battery life everything is good.","MANAS MUKHERJEE","Certified Buyer","1 month ago","2","0"
"5","Classy product","Impressive","Deepanshu Raj","Certified Buyer","1 month ago","2","0"
"5","Classy product","amazing galaxy 💜 😍","Himanshu","Certified Buyer","1 month ago","2","0"
"","","","","","","",""
"5","Fabulous!","The performance is very good, and the product was delivered in good condition.","Navin","Certified Buyer","1 month ago","2","0"
"5","Excellent","Camera is the main reason for my buying.There is a heating issue.","BIKASH  CHETIA","Certified Buyer","1 month ago","2","0"
"5","Pretty good","Absolutely stunning phone. Amazing camera, surprising battery life, stunning screen, sound and aesthetics. Easy to capture stunning, praiseworthy images of everything and everyone around.the best compact flagship under 40000, without any doubt.","Nikhil  V.A","Certified Buyer","1 month ago","2","0"
"5","Must buy!","Initially I heard very bad reviews againt mobile battery life but if you are normal user its more than expected and finally i can say just go for it if you really want a flagship level mobile, its really good more than you see","Nikhil Kumbhar","Certified Buyer","1 month ago","2","0"
"5","Simply awesome","The best product i have bought from Flipkart and the quality of the phone is just top notch it gives a premium feeling when you use it and the size is also small like an iphone , worth buying.","Mukul Bhoj","Certified Buyer","1 month ago","2","0"
"5","Classy product","Best Compact Phone at this price❤️","Rajat Roy","Certified Buyer","1 month ago","2","0"
"5","Classy product","Very good fon","AMRIT KUMAR","Certified Buyer","1 month ago","2","0"
"5","Super!","Superb Design and display alsoCamera quality is superb ..Love to use . It's feel premium because it's compact Only one cause is battery drain You have suffer from battery backup because S24 has only 4000mah battery you have to charge atleast 2 time In a dayBut the only problem is","Yadu Deshmukh","Certified Buyer","1 month ago","2","0"
"5","Highly recommended","Good Product","Ansar Customer","Certified Buyer","2 months ago","2","0"
"5","Awesome","Very Good","DARSHAN PORIYA","Certified Buyer","2 months ago","2","0"
"","","","","","","",""
"5","Perfect product!","Awesome look and camera","Shivendra Rawat","Certified Buyer","2 months ago","2","0"
"5","Awesome","Compact phone very easy to carry.Features are good as per the price.","Karti Suku","Certified Buyer","10 months ago","2","0"
"4","Nice product","Value for money","Flipkart Customer","Certified Buyer","25 days ago","2","0"
"4","Good choice","Android version of iphone. New UI is cool. Smooth as fk.","Dipraj Saha","Certified Buyer","27 days ago","2","0"
"4","Good quality product","Ai features excellent,sound quality owsome like iphone..built quality look very nice..mini size comfort handle this mobile..","arjunarao pithani","Certified Buyer","1 month ago","2","0"
"4","Really Nice","Best flagship smartphone under this price 👌 Nice camera 📷 Good performance Best display 👌 Battery- it lasts almost full day for normal user.","Rohit Kumar","Certified Buyer","1 month ago","2","0"
"4","Delightful","Got the Original/Genuine Product.","Ayush Pawara","Certified Buyer","1 month ago","2","0"
"4","Wonderful","Camera : pro Battery : badOther performance : Nice","Mahesh Gharat","Certified Buyer","1 month ago","2","0"
"5","Super!","I love this phone","Sekhar Behera","Certified Buyer","Aug, 2024","20","23"
"5","Classy product","Bought it for 42k in BBS with 2k cashback, if you're getting it for 44k with 2k cashback then go for it if your budget is upto 50k. This is the best deal. Camera is amazing, AI integration is pretty impressive, performance is smooth as butter, though i changed the performance to 60Ghz to save battery which is a minor issue. You can charge it in 35-40 minutes with a 45 watt samsung charger, plus it has wireless charge feature and you can share battery from others who have this feature or you c...","Mohd Sameer","Certified Buyer","1 month ago","3","1"
"","","","","","","",""
"5","Perfect product!","Best phone under 40k. Superb camera, display, processor. Compact and handy. Battery should be better. Other than this, all the features are awesome.","Suprio Samanta","Certified Buyer","1 month ago","3","1"
"4","Good quality product","Almost perfect.. small compact size..But low light photography slightly disappointed.","Vasu  K S","Certified Buyer","2 months ago","3","1"
"5","Excellent","Super","MAHENDRA KEELKA","Certified Buyer","2 months ago","3","1"
"5","Awesome","This phone is an absolute unit, far better than other smartphones in this price range (even a better camera than the iPhone 16), worth every penny. Go for it.","Himanshu Thakur","Certified Buyer","1 month ago","2","1"
"5","Must buy!","Camera design display performance are so great...just like amul butter😘😘But battery performens little bad🥲Improve battery performenceOver all ok","Subhasis Ghosh","Certified Buyer","1 month ago","2","1"
"5","Must buy!","Using this phone for one week now. Overall a decent choice if your not into gaming (go for 13R).. BUILD and Design is excellent. In hand feel is too good. Comparing to 13R this one is too comfortable to use and carry everyday. It does gets warm quickly even in smaller task if your connected to 4g or 5g. In case of wifi its does gets warm but after 20 min.Camera is great for the price.. no network issues so far( im using jio). Performance is best for the price. Battery i would say decent...","Nirmal Bothra","Certified Buyer","1 month ago","2","1"
"5","Highly recommended","this is the best phone i buyed till not and by the way f@#k iphone","Rishabh Kanyansh","Certified Buyer","1 month ago","2","1"
"5","Simply awesome","Camera was with it for money 💰 Battery was slightly low but worth it for money.","Dasharatha Huggi","Certified Buyer","1 month ago","2","1"
"5","Best in the market!","Very nice product Samsung s24","Gulfam Ahamad","Certified Buyer","1 month ago","2","1"
"5","Brilliant","Amazing product","Flipkart Customer","Certified Buyer","2 months ago","2","1"
"","","","","","","",""
"5","Perfect product!","Superb phone outstanding performance Thanks flipkart for bbd for buying this","Anurudh Pandey","Certified Buyer","2 months ago","2","0"
"5","Excellent","ovarall good performance display sound cameraperformance decent battery","Akhila Kannepalli","Certified Buyer","2 months ago","2","0"
"5","Perfect product!","Everything is awesome except battery.","Flipkart Customer","Certified Buyer","5 days ago","1","0"
"5","Wonderful","Except Battery (Typical 3880mah), Everything is Top Notch for the priceI am Normal Dual sim user (Airtel and Jio 5G), and i am getting battery backup of approx 4hrs, So i guess you should get Powerbank in your pocket to keep this Beast AliveMore Horsepower = More Fuel Consumption :)","Arpit Lalkiya","Certified Buyer","8 days ago","1","0"
"5","Wonderful","Awesome product","UTTARAN  CHOWDHURY","Certified Buyer","11 days ago","1","0"
"5","Perfect product!","Great compact and light weight phone. The edges are not rounded hence while holding the phone bare will feel uncomfortable. But getting a good case solves that. Battery is decent and not recommended for heavy users. Charging takes about 45min to 1 hour to go from 10 to 85%. Display and touch is awesome as expected from Samsung. Camera is good if not great (I used to have pixel earlier so feeling it). User interface and features are great as well. overall an amazing deal at 38.5k.","Sayyed  Gouse","Certified Buyer","11 days ago","1","0"
"5","Excellent","Great mobile phone with awesome camera and processor only a little battery is compromised but it is valid also as size is 6.2 inches","Sanno Maurya","Certified Buyer","13 days ago","1","0"
"5","Highly recommended","Coming from samsung M34, this feels awesome to use. Performance even in light profile is super good. Adreno750 gpu can run most games in playstore. Heavy usage will drain battery life similar to a powerful gaming laptop. However, Light, mixed usage will get you by one day.The design and size is super sexy. As of November 2025, S25 has better SoC but this S24 is super value for money, you're are getting 95% of S25.","Abhishek singh","Certified Buyer","14 days ago","1","0"
"5","Brilliant","Its camera quality is number one and its weight is also almost okay but the mobile is premium and its zooming is also very good, if you want to buy then you can do it, its processor is very good. 🕶️🖤","HARSH  SINGH","Certified Buyer","18 days ago","1","0"
"5","Super!","It's just my favorite size , I like that I can compact it and slide it into a pocket.","Dipak Kumar  Yadav","Certified Buyer","19 days ago","1","0"
"","","","","","","",""
"5","Perfect product!","Camera Is So Good 👍. Performance Superb 👏 Battery Life Good","Satyaban Giri","Certified Buyer","22 days ago","1","0"
"5","Super!","Overall","Adarsh Thakur","Certified Buyer","27 days ago","1","0"
"5","Fabulous!","Nice product","siddu Reddy","Certified Buyer","28 days ago","1","0"
"5","Must buy!","Excellent Mobile for moderate user, butter smooth OS, no bloatwares, Design and in hand feel is premium, one of the best Compact Camera centric phone around. Definitely better than iPhone 15 and Pixel 9a at similar price point.","Arnov Sarkar","Certified Buyer","29 days ago","1","0"
"5","Excellent","Best flagship phone in this range must buyIt's in hand feel is marvelous ✨️","Flipkart Customer","Certified Buyer","29 days ago","1","0"
"5","Super!","All performance superb but little battery performance low i am happy no problem I can charge evening and morning","sayyed Ansari","Certified Buyer","29 days ago","1","0"
"5","Just wow!","Camera- 4.5/5Battery- 3.5/5Performance -4/5Screen resolution-5/5","Suman Kumar Pradhan","Certified Buyer","30 days ago","1","0"
"5","Simply awesome","So i will talk about it in briefly This phone is targeting someone who loves good cameras and a good software and premium look. If you are consumer then you can get a slight disappointment with size but eventually you will get used to it. I have a ipad for consuming medias so it doesn't bother me. The things i look in a phone is a good camera which the phone have actually. The other things that can disappoint you is the battery performance and the charging speed. But eventually you get used...","Ananya Kumari","Certified Buyer","1 month ago","1","0"
"5","Worth every penny","It is a very good mobile phone in this range it is very light weight phobe ,lighter than iphone 14 ,I like it very much in all corners and I really recommend to buy it","Anwar Kamal","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Nice Camera","Bishal Nandi","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Perfect product!","Apart from battery backup There is nothing to complain about the phone","Gourav Gk","Certified Buyer","1 month ago","1","0"
"5","Must buy!","Wow nice phone looking","Ankit Kumar","Certified Buyer","1 month ago","0","0"
"5","Just wow!","The Samsung Galaxy S24 is an exceptional smartphone in its price segment. Powered by the Snapdragon 8 Gen 3 processor, it delivers impressive performance with smooth and responsive user experience. The display quality is outstanding, offering an immersive and enjoyable video-watching experience. Additionally, the build quality feels premium, giving it the look and feel of a flagship device.","Dharmendra kumar","Certified Buyer","1 month ago","1","0"
"5","Awesome","Samsung s24 is my most favourite phone camera quality all good pictures are so elegant realistic that I am see in this price this phone a totally worth it thank you Flipkart","AAKASH  DEBNATH","Certified Buyer","1 month ago","0","0"
"5","Super!","Awesome","Bolle  Vamshi","Certified Buyer","1 month ago","1","0"
"5","Super!","Nice product","Neeraj  Hirve","Certified Buyer","1 month ago","0","0"
"5","Terrific","Good","Ajin Louis","Certified Buyer","1 month ago","0","0"
"5","Must buy!","Greate phone","Manish Behera","Certified Buyer","1 month ago","0","0"
"5","Perfect product!","Camera and performance-5/5Battery-4/5Looks-5/5Display-5/5","Himanshu Baunthiyal","Certified Buyer","1 month ago","1","0"
"5","Awesome","I'm a hard-core Samsung fan and I'm in samsung eco system,  every thing in this phone was amazing except speaker loudness even battery life around 6 hrs for my usage","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Must buy!","Value for money in below 45K range.","Sathish","Certified Buyer","1 month ago","0","0"
"5","Nice product","Very good phone 📱 performance is too good, battery lifetime upto 6 hours,camera is fantastic 🤩,Overall I'm so much happy","Jharna Mandal","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","Best phone.  I like it 👌","Pranjit Das","Certified Buyer","1 month ago","0","0"
"5","Perfect product!","I have iphone 15 pro Max, but I love this s24, The best phone in the segment. Premium build. Great camera, Beautiful display, Compact and powerfull phone. You will simply love it.","Hemanth KY","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","The OG Samnsung Galaxy S24. It does it's wonders within this compact size is truly impressive. Be it performance, design, display, camera, everything is top notch. Now that it comes with Snapdragon 8 Gen3 and with the BBD price it becomes the most obvious choice for one, who is looking for a close to flagship experience. One of the best UI for android is equipped with Samsung Galaxies, folks will leave Iphone once they get a hang of this UI. The only drawbacks that I observed after using this...","Sumit Prasad","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","The phone is amazing 👏 but delivery was too late","Deepak Jangid","Certified Buyer","1 month ago","0","0"
"5","Super!","💕 My compact phone is lovely 🙂👍","Ashish ji Shukla","Certified Buyer","1 month ago","0","0"
"5","Classy product","Except battery life all are excellent","SAIFUL  ALAM","Certified Buyer","1 month ago","0","0"
"5","Mind-blowing purchase","Its a good ..","Rohit Raj","Certified Buyer","1 month ago","0","0"
"5","Super!","Elegant design...camera works perfect..i bought it during flipkart sales, got great dicount..best phone under 40000 range..i am a samsung S series lover so quite like this one aswell...great job from flipkart as well..appreciate that flipkart..got it in 2 days...😄","Hasan Rizwi","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Just wow!","Seriously Better than an i-phone must buy it's processor, it's camera, it's display overall performance for me is impressive and it's AI is also doing a great job to checkout the magic please see the attached photo of godes durga, it's a compact phone feels good and premimum in hands and it's build is solid 2 or 3 times fallen from my hand but no single dent or screach thanks flipkart and samsung! 🤩📱💯 #Phone #Processor #Camera #Display #Performance #Build","Shubham  Sisodiya","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","I ordered this phone on 0ct 2, 2025 and got it delivered on 4th of Oct 2025. Before this, I was using Vivo V series. After using it for 10 days, I can guarantee you that this is the best compact phone in this segment. The phone is perfect in all aspect whether it's design, camera, performance. Even battery of this phone is very good. I have to charge it once in a day as I am a moderate user.       Thanks Samsung for this Wonderful Product. It is more than worthy in this price. Even Iphone lo...","Bhupendra Sahu","Certified Buyer","1 month ago","0","0"
"5","Terrific","Such a amazing And this is my 1st flagship phone Amazing experience","SK SARFARAJ","Certified Buyer","1 month ago","0","0"
"5","Terrific purchase","Do better in look","Mohd khaif","Certified Buyer","1 month ago","0","0"
"5","Terrific","Good 👍","Tinku Kushwah","Certified Buyer","1 month ago","0","0"
"5","Awesome","A fantastic gadget in every aspectA great cameraA great processorA great displayEverything is awesome","Manjeet Kumar","Certified Buyer","1 month ago","0","0"
"5","Great product","All good expect battery","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Perfect product!","Great","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","Great camera,  samsung never disappoint us","Vishal","Certified Buyer","1 month ago","0","0"
"5","Brilliant","Battery is 1 day easily get. Fantastic.","Debraj Sinha","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Brilliant","Worth the price Samsung is","Flipkart Customer","Certified Buyer","1 month ago","0","0"
