"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"1","Did not meet expectations","Phone is hitting very often","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"1","Horrible","It is heating up when ever i use it","Jagrit Bhargava","Certified Buyer","1 month ago","0","0"
"1","Waste of money!","Network issue","chandan kumar","Certified Buyer","1 month ago","7","2"
"1","Not recommended at all","Facing network related issues..","Priyansh Limbasiya","Certified Buyer","1 month ago","4","1"
"1","Useless product","Heating issue and face id is not performing well","Bommakanti  Rakesh","Certified Buyer","1 month ago","3","1"
"1","Worthless","Overall performance is ok. But there's heating issue  that needs to be addressed.","Andrews Victor","Certified Buyer","1 month ago","2","2"
"1","Useless product","Worst experience","Vineet Anand","Certified Buyer","1 month ago","2","0"
"","","","","","","",""
"4","Delightful","Best deal in BBD Great experianceGo for it..! 4/5 *","Roopesh R Urit","Certified Buyer","1 month ago","0","0"
"1","Terrible product","Over heating and default apps not installed","Udaygoud burra","Certified Buyer","1 month ago","1","0"
"1","Terrible product","Worst product don't buy this.....Battery drain even your mobile is switched off","Divakar Shukla","Certified Buyer","1 month ago","1","0"
"1","Worst experience ever!","Worst battery ever","Sunita Rajput","Certified Buyer","1 month ago","0","0"
"1","Did not meet expectations","Battery Backup is Terrible , have to charge 2/3 times a day","MAYURI BHARALI","Certified Buyer","1 month ago","2","0"
"1","Useless product","The product is good.. But the flipkart logestic department is worse","Suvam  Saha","Certified Buyer","1 month ago","2","0"
"1","Terrible product","When clicking Normal pictures it's heatingWhen using apps it's heating under normal conditions Very bad issue","Dawood Shaikh","Certified Buyer","1 month ago","2","0"
"","","","","","","",""
"1","Horrible","After take photo not bright","Sombir Tanwer","Certified Buyer","1 month ago","0","0"
"1","Waste of money!","Heating issue","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Super hit","Kiran Bala","Certified Buyer","1 month ago","0","0"
"1","Worthless","Don't buy this phone because of the hype , the seller is terrible and phone gets too hot when used for minimum stuff . Literally regrett","Ajay Shetty","Certified Buyer","1 month ago","2","0"
"5","Perfect product!","Camera performance is so good 👍","Shabaj sha","Certified Buyer","1 month ago","1","0"
"1","Did not meet expectations","Heating issue ,camera pixels not clear , battery drop down fast","Vinod kumar  Pal","Certified Buyer","1 month ago","3","0"
"","","","","","","",""
"4","Worth the money","Battery lasts for 3hr 30mim screen time. Or 4hrs on normal usage . I have snapdragon variant. But apart from that it's a beast. Perfect in-hand feel , super camera , all good software.","BIPIN MAURYA","Certified Buyer","Today","0","0"
"5","Excellent","Overall very good smartphone. Not for heavy users or professional photographers. Very crisp display. Very fast. Battery drains fast, light to medium users can use it full day with 1 time charge.","Deepak Bhushan","Certified Buyer","5 days ago","2","0"
"4","Nice product","Super","Subham Saha","Certified Buyer","1 month ago","0","0"
"1","Unsatisfactory","Dont by this phone the flipkart will give you fake product as I get with fake.chipset and s lot of heating problems don't buy this performance if you put in performance mod you can make egg fry on that","AnilKumar K K","Certified Buyer","2 months ago","3","0"
"1","Don't waste your money","Not expected this product very bad experience","Prince D","Certified Buyer","1 month ago","4","11"
"1","Worthless","Heating effect","Paulun Manlun","Certified Buyer","1 month ago","4","0"
"5","Highly recommended","Good phone for camera","DHRUMIT PANCHAL","Certified Buyer","1 month ago","0","0"
"5","Terrific","Good","Nithin Pradeep","Certified Buyer","2 months ago","0","0"
"","","","","","","",""
"1","Useless product","Sound is not proper crackling noise coming","sanjay hdfc Card","Certified Buyer","1 month ago","0","0"
"5","Mind-blowing purchase","Super display and nice cameras; performance is good. I am happy. 😄📸📱👍 #Technology #Cameras #Performance #Happiness","SD Rasool  Basha","Certified Buyer","2 months ago","0","0"
"1","Terrible product","Battery backup is pathetic after full charging in 7-8 hrs of usage again I have to put on charging","Prashant Gupta","Certified Buyer","1 month ago","11","21"
"4","Good choice","Everything is excellent except the battery.While setting up the phone it went too hot that the camera lenses also got blur and that's the main problem but apart from that every thing is going good","Nisarg Bhavsar","Certified Buyer","2 months ago","0","0"
"5","Just wow!","Superb product by Samsung.  Value for money","Biki Sekh","Certified Buyer","1 month ago","0","0"
"1","Utterly Disappointed","Battery drain","Ganesh Yadav","Certified Buyer","1 month ago","2","0"
"","","","","","","",""
"5","Highly recommended","Worth it","MANDEEP  KAUR","Certified Buyer","1 month ago","0","0"
"5","Fair","Awesome phone All over is well nice camera 5star","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Terrific","Hand feel awesome and camera is fabulous","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Perfect product!","Supper quality mo","Pankaj  Biswas","Certified Buyer","1 month ago","0","0"
"5","Brilliant","Amazing product","Flipkart Customer","Certified Buyer","2 months ago","2","1"
"2","Expected a better product","Not good daly u","Pradip Chandra roy Customer","Certified Buyer","7 days ago","1","1"
"2","Not good","Apple is more more better than this stupid","SRav Tanwar","Certified Buyer","7 days ago","1","10"
"2","Slightly disappointed","Issue battery","Monu Sharma","Certified Buyer","11 days ago","2","0"
"","","","","","","",""
"","","","","","","",""
"2","Could be way better","the battery is  easy dead and the phone becomea","Manish Garg","Certified Buyer","20 days ago","0","0"
"2","Could be way better","It's getting hot while using minutes","Ch Akash Kakran","Certified Buyer","27 days ago","0","1"
"2","Slightly disappointed","Camera not good as per segment Google pixel is much better","Digambar Nikam","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"4","Good quality product","Good","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"2","Slightly disappointed","Battery issue is there can't even get 5 hours screen on time i invested all hard earned money it it please be careful while investing in it camera is ok but can't compare it with iphone 16 only outdoor camera is ok other about performance I am not heavy user so for me it's ok.","Prasad  Balsure","Certified Buyer","1 month ago","0","0"
"2","Moderate","The phone was delivered and after using it for one day its performance was very low I tried a lot to cancel it but no one responded I called Samsung care several times but that too is turning around. First of all when using camera the phone heats up a lot and battery is draining very fast.","Flipkart Customer","Certified Buyer","1 month ago","1","2"
"2","Bad quality","Camera was  very bad","Binuja Biju","Certified Buyer","1 month ago","0","2"
"2","Could be way better","Heating issues and Battery backup","Vijay Gulati","Certified Buyer","1 month ago","0","0"
"2","Could be way better","Battery of very poor performance","Jitendra Singh","Certified Buyer","1 month ago","0","0"
"2","Expected a better product","pixel burn in 20 days. Worst experience","suyash","Certified Buyer","1 month ago","0","0"
"2","Bad quality","Camera is average","Flipkart Customer","Certified Buyer","1 month ago","1","1"
"","","","","","","",""
"2","Moderate","Where to start with!1. Soon after unboxing the cameras got totally hazy with visible vapours in them though it  cleared itself after some time but for a new user very negative experience 2.It overheats so much during charging even when not charging. It overheats when installing software updates too.3. Totally horrible experience from my side ..it's a regret I can't explain.  The very 1st costlt phone I've ever used and it just turned out to be worse..my previous phones ( all under 20k) wer...","Flipkart Customer","Certified Buyer","1 month ago","3","2"
"2","Bad quality","Phone heating problem","ajay  kumar","Certified Buyer","1 month ago","0","0"
"2","Not good","I have faced so much heating issue..and after software update it was hanged for 2 hour.thinking of return it","Riya Datta","Certified Buyer","1 month ago","0","0"
"2","Expected a better product","Average phone Unsatisfied","Flipkart Customer","Certified Buyer","1 month ago","1","1"
"","","","","","","",""
"5","Great product","Excellent phone just go for it...","Mohammed Sohel","Certified Buyer","1 month ago","0","0"
"4","Value-for-money","Other than battery every other thing is perfect in this price range .","deepak rathore","Certified Buyer","15 days ago","0","0"
"2","Could be way better","Battery very bad","Satish Prasad","Certified Buyer","1 month ago","0","0"
"4","Worth the money","I liked the chipset but camera shots are not that much great.stunned by display marvellous,!","Sreeni  K R","Certified Buyer","29 days ago","0","0"
"","","","","","","",""
"2","Expected a better product","Mobile activation date is old 50days agoMobile is not unactivated","Dnyaneshwar Shinde","Certified Buyer","1 month ago","0","0"
"5","Excellent","Very Good Device","Rajib Deka","Certified Buyer","1 month ago","0","0"
"2","Expected a better product","Feedback-1) phone is too very heating in normal condition and during charging as well as.2) Phone performance is too poor.3) phone speaker condition also poor.I'm not satisfied with it.","SUMIT  ARYA","Certified Buyer","1 month ago","0","0"
"2","Expected a better product","Heating problem","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Classy product","Best compact flagship phone❤️❤️. The camera is outstanding and the dynamic range is pretty good. Top notch performance with SD 8 gen 3 and awesome display. Played BGMI and Genshin Impact and it handled smoothly. Design also looks premium and One UI is highly optimised📱. Only issue with small battery size. It could have been better.","Narayan Tripathy","Certified Buyer","1 month ago","1","0"
"5","Simply awesome","Thank 😊","Syed Sarwar","Certified Buyer","2 months ago","0","0"
"5","Terrific","Just go for it you will never regret.","Jogendra Mahanta","Certified Buyer","1 month ago","0","0"
"2","Just okay","display not as expectedBattery draining faster than my 2 year old iphone 14over saturation of photos","Nipin  Prakash","Certified Buyer","2 months ago","0","0"
"4","Worth the money","This price good phone","Mohit  Yadav","Certified Buyer","2 months ago","2","1"
"3","Fair","Battery performance is poor apart from battery for all specifications mobile is good","Sai Ganesh","Certified Buyer","1 month ago","2","0"
"3","Fair","Main camera is not good, images got blur and break when we do","Salman Ahmed","Certified Buyer","1 month ago","1","0"
"3","Does the job","All good except battery","Srinivasu Douluri","Certified Buyer","1 month ago","3","0"
"","","","","","","",""
"5","Best in the market!","Just awsm","khushboo jaiswal","Certified Buyer","20 days ago","0","0"
"3","Good","One star less for Exynos processor. Review after 6 months of use.Avoid phones with Exynos. Big lag in processing in every process. Irritating. Give feeling of buffering in earlier days on internet.","Abhijit Nagre","Certified Buyer","4 months ago","3","2"
"3","Nice","It's heating up like crazy, in just 5 minutes of setting up the phone it was already pretty hot. The battery is also draining super fast. It does not feel like old samsung phone as the UI and the look feels like an imitation of iphone. The Camera is not as great as mentioned by various reviewers either.For this price it's not worth it.Think twice before buying.","Flipkart Customer","Certified Buyer","1 month ago","2","1"
"3","Just okay","Heating On 5g network","Falguni Padhan","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"3","Terrific purchase","Worth it","Gopalakrishnan R","Certified Buyer","1 month ago","0","0"
"3","Fair","I am iphone user this is not for me type too much heat and lag","Alok  Nigam","Certified Buyer","1 month ago","1","0"
"3","Decent product","It's s grate smart phone in this budget","Bijoy Barman","Certified Buyer","1 month ago","1","0"
"3","Good","It have heating issue When you open camera for 5 to 10 minutes. It's camera also not that good enough. In this price range other phones gives much better performance and camera clearity and features.","Deepak Jangid","Certified Buyer","1 month ago","1","0"
"3","Decent product","Overall good phone.I noticed the phone hanged on very second day and also Notes application is not opening.","Sumit Kumar","Certified Buyer","1 month ago","0","0"
"3","Fair","A good phone. Only drawback is battery capacity .","Swapnil Bhosle","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","Great camera,  samsung never disappoint us","Vishal","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"3","Does the job","Mobile is awesome,  but battery is very bad","Chandrashekhar Reddy","Certified Buyer","2 months ago","0","0"
"3","Fair","It is great premium compact phone under 40k. But facing heating issue since day 1. Some say that the software takes time to analyse the usage pattern and save battery and not to get heated. Need to see. But this level of heating issue is not expected from a premium smartphone","Flipkart Customer","Certified Buyer","2 months ago","1","0"
"5","Awesome","Good","Shalyajit Pattnaik","Certified Buyer","1 month ago","0","0"
"3","Decent product","Pros*good camera  *clean UI*best disply *best performance *best design  Cons*Poor battery back up*Some time fingerprint not working *  back gestures not working *when i playing games heating  issue","Arun  M M","Certified Buyer","10 days ago","0","0"
"","","","","","","",""
"3","Not up to expectation .","Comparing to the competing smart phones at this range I don't feel it provides the satisfaction which it should . The battery life of the phone is blow par. 4000 MAH at this price is very disappointing. In day to day life it often feels like not to use the phone so that it could last at least till evening . The camera and all are not that much of a big update from s23 . Even in the price range that it sells in the sale it feels like over priced . The compact size of the phone and Samsung one ...","ANU  GEORGE","Certified Buyer","15 days ago","0","0"
"3","Does the job","Everything is good but the zoomin of camera is very unsatisfying bcoz at some points camera gone blur. And the security is not good like face lock, its unlocked very easier like I'm standing far from the front camera but still phone unlocked automatically.","Raghu Sharma","Certified Buyer","20 days ago","0","0"
"3","Good","Ok","Omprakash sankaran","Certified Buyer","24 days ago","0","0"
"","","","","","","",""
"3","Just okay","Good","Flipkart Customer","Certified Buyer","28 days ago","0","0"
"3","Fair","I recently purchased a this device from Flipkart I got with open box delivery all things are ok but there is a issue with the speaker mobile phone device.. both the speaker are not working properly and making distorted sound from it.. what to do?","Deepak Uchit","Certified Buyer","28 days ago","0","0"
"3","Decent product","Below 40k ok","Flipkart Customer","Certified Buyer","28 days ago","0","0"
"3","Decent product","Battery backup is very very bad 😞","Vikas Verma","Certified Buyer","29 days ago","0","0"
"3","Decent product","Overall gpod","Trishna Rajbongshi","Certified Buyer","29 days ago","0","0"
"4","Good choice","Close to perfect only issue is battery","Mohit Yadav","Certified Buyer","1 month ago","0","0"
"5","Awesome","Very good product under 40k .mindblowing purchase.thank you flipkart🙏","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"3","Just okay","If you are using social media battery is not  long lasting.","jaydeep dawar","Certified Buyer","30 days ago","0","0"
"","","","","","","",""
"3","Just okay","Nice","Sujitkumar Gawade","Certified Buyer","1 month ago","0","0"
"3","Fair","Good","Kiran Yadav","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"3","Good","Display is to dullCamera is ok ok even Oneplus 13 has far better Camera than thisBuild quality is 4/5Battery 🔋 is too bad 2/5It has Overheating issue","Anil  Paswan","Certified Buyer","1 month ago","0","1"
"3","Just okay","Ok","Ankush Jain","Certified Buyer","1 month ago","0","0"
"3","Decent product","Poor battery...too small sized mobile..","Mustapha  Mandewale","Certified Buyer","1 month ago","0","2"
"3","Decent product","Overall experience with this product is good but the battery is drain fast And my recommendations is don't buy this phone because it is overhyped the prices are same in the offline stores 🙃","Abhishek  Pujari","Certified Buyer","1 month ago","1","1"
"3","Fair","Heating issue and battery health","Pradeep  Anjana","Certified Buyer","1 month ago","0","0"
"3","Decent product","Overall phone is great but screen size is a little issue","Alfaiz Ansari","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"3","Good","Battery changing very bad for day 3 times for normal use only","Chiluveri  Rakesh Kumar","Certified Buyer","1 month ago","0","2"
"3","Nice","Ok","pentakota  siva","Certified Buyer","1 month ago","0","0"
"3","Does the job","All is good but camera is avrage","Flipkart Customer","Certified Buyer","1 month ago","1","1"
"5","Classy product","So far so good🐮","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"3","Does the job","They could have provided the adaptor","Nimakrishna Nk","Certified Buyer","1 month ago","0","0"
"5","Worth every penny","great phone","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"3","Nice","Everything is good, Battery is worst","Nikita Konge","Certified Buyer","1 month ago","0","0"
"3","Decent product","Product is good, but I suggest to buy from the store and not from this bloody flipkart.. They are least bothered to deliver the product on time. Instead prime is really good and they keep up the promise.","Manojavam S","Certified Buyer","1 month ago","0","0"
"3","Good","Battery drop","Appanna Gollangi","Certified Buyer","1 month ago","0","0"
"3","Good","Very heet","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Best in the market!","Nice phone","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"3","Good","Heating issues in s24","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"3","Nice","Battery problem facing","Trilok  Singh","Certified Buyer","4 days ago","1","0"
"3","Fair","Battery is not good other than that everything is best.But battery don't even work 5 hours if used continuously","Flipkart Customer","Certified Buyer","1 month ago","0","0"
